path,bytes,sha256
C:\TasOut\b0w\out\hourly-dataset.csv,30345875,9689CECB55AA5FDE2E0EB8F17A857B861E7A5A439A1B09126697A54300040B13
C:\TasOut\b0w\A.csv,19064488,4BBAD1C1EB6813FEA595335B9634E32C233277763678662847DDD3D22238050A
C:\TasOut\b0w\Bsrc.csv,13780537,8CDAAC3A9ED0F08E9DF4F5F40624C9D22206EEA543BB0CCE8682C84F017F91D1
C:\TasOut\b0w\Bbridge.csv,14961205,232BA6D11D832415235F55DE79E242E3A5CFF2CF0FC8DF087A7C1EAE9F0CA37E
C:\TasOut\b0r4\ducts.csv,47548435,5246048BE3CFDF870D9B02D5201A29E6A24EF52B78CCF9511BF9281835618A06
C:\TasOut\b0r1\zt-control.csv,1358828,01556EEF88417213F39FB092220CDB9F70890178C32CFEAEB59B209265B78C14
C:\TasOut\b0r2\zt-dv0.csv,1358304,C124CADF678B50FED09A514188745210E6C8F697431D9EC5028B470D0FEB656E
C:\TasOut\b0w\out\fig1-rmse-vs-shift.png,64769,13DA60B9F2299EBD2C0B6A186DD5134FD3357C3B0CD537163704D2DE8886F468
C:\TasOut\b0w\out\fig2-monthly.png,46772,78D3180E3AE82E711447D1F99C47AFFA7C095C935B70FE2A149CCB2976B9A145
C:\TasOut\b0w\out\fig3-critical-windows.png,211657,5BAA4B0846F6C906FB432267B12D6821815C94E3027C4610313AD6DC9DDBAA3C
C:\TasOut\b0w\out\fig4-bathroom2-threshold.png,106762,0D54D22DA7D7F0357C8F24DE36253B013D43E89E2CCBB649D6D8F8F08BDE326D
C:\TasOut\b0w\out\fig5-inlet-air.png,47656,999F1CF7A73D67E3C62391C2A318D7062A6D485DF2A55A41113F378D61E82C60
