section,key,n,bias,rmse,mae,maxabs,dwelling,leg_kind,design_flow_ls,source_room,res_bias,res_rmse,res_maxabs,res_argmax_hour,air_bias,air_rmse,air_maxabs,mrt_bias,mrt_rmse,mrt_maxabs,A_gt26_hours,B_gt26_hours,A_mean_res,B_mean_res,B_inlet_mean_C,A_inlet_mean_C,inlet_delta_K,B_leaving_mean_C,B_zone_mean_C,B_stratification_K,corr,note,dv_true_bias,dv_true_rmse,dv_false_bias,dv_false_rmse,dv_true_mean,dv_false_mean,A_mean,S_minus_B,B_minus_A,A_res,B_res
pooled,A_res_vs_B_res,70080.000000,0.372644,0.833501,0.688882,2.908573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pooled,A_air_vs_B_ZoneTemperature,70080.000000,0.385350,0.984024,0.800978,4.130445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pooled,A_mrt_vs_B_mrt,70080.000000,0.359939,0.710060,0.603721,1.880524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
per_room,Bathroom_2,,,,,,Flat 1,transfer,8.000000,Studio 1_0,0.494930,0.817455,2.454351,1843.000000,0.531564,0.979276,3.028181,0.458296,0.690630,1.880524,4.000000,16.000000,17.439112,17.934043,18.225268,15.681650,2.543618,30.752366,18.489592,12.262775,,,,,,,,,,,,,
per_room,Studio 1_0,,,,,,Flat 1,supply,30.000000,outdoor,0.284546,0.672525,1.543732,6211.000000,0.291665,0.802572,2.233156,0.277426,0.575382,1.132446,13.000000,12.000000,16.000311,16.284857,10.000183,9.998209,0.001973,18.225268,15.973315,2.251953,,,,,,,,,,,,,
per_room,Bedroom 2_3,,,,,,Flat 2,supply,63.000000,outdoor,0.487366,0.712868,2.351591,2968.000000,0.522396,0.779807,3.074429,0.452336,0.656128,1.628754,3.000000,3.000000,14.813591,15.300957,10.000183,9.998521,0.001662,15.109611,14.938687,0.170924,,,,,,,,,,,,,
per_room,Ensuite_5,,,,,,Flat 2,transfer,8.000000,Kitchen_4,0.047778,0.827805,2.633465,4819.000000,-0.096354,0.986623,3.839502,0.191911,0.717915,1.532623,0.000000,0.000000,17.004710,17.052489,16.680570,15.353450,1.327120,35.880366,17.378124,18.502243,,,,,,,,,,,,,
per_room,Kitchen_4,,,,,,Flat 2,transfer,63.000000,Bedroom 2_3,0.828849,1.068859,2.459118,2968.000000,1.004657,1.261718,3.093925,0.653042,0.886869,1.824310,4.000000,4.000000,15.566800,16.395650,15.109611,14.416292,0.693320,16.680570,16.358108,0.322462,,,,,,,,,,,,,
per_room,Bedroom 2_6,,,,,,Flat 3,supply,63.000000,outdoor,0.465875,0.693988,2.492712,2968.000000,0.501836,0.754438,3.236156,0.429913,0.644420,1.749268,2.000000,3.000000,14.768969,15.234843,10.000183,9.998521,0.001662,15.051359,14.879310,0.172049,,,,,,,,,,,,,
per_room,Ensuite_8,,,,,,Flat 3,transfer,8.000000,Kitchen_7,-0.334679,0.849632,2.908573,5491.000000,-0.542950,1.069915,4.130445,-0.126407,0.676159,1.790894,0.000000,0.000000,17.536004,17.201325,16.682162,15.496556,1.185606,36.028167,17.446115,18.582052,,,,,,,,,,,,,
per_room,Kitchen_7,,,,,,Flat 3,transfer,63.000000,Bedroom 2_6,0.706490,0.947560,2.373676,2968.000000,0.869985,1.120699,3.167248,0.542994,0.787742,1.709198,4.000000,4.000000,15.738390,16.444879,15.051359,14.377474,0.673885,16.682162,16.366541,0.315621,,,,,,,,,,,,,
time_shift,A_air vs B_zone(achieved air)|k=-3,70056.000000,0.385544,1.253108,1.012290,6.570864,,,,,,,,,,,,,,,,,,,,,,,,,"<bound method Series.corr of pair      A_air vs B_zone(achieved air)
shift                                -3
scope                            pooled
n                                 70056
bias                           0.385544
rmse                           1.253108
mae                             1.01229
maxabs                         6.570864
corr                           0.961033
Name: 0, dtype: object>",,,,,,,,,,,,
time_shift,A_air vs B_zone(achieved air)|k=-2,70064.000000,0.385532,1.147497,0.931780,5.978783,,,,,,,,,,,,,,,,,,,,,,,,,"<bound method Series.corr of pair      A_air vs B_zone(achieved air)
shift                                -2
scope                            pooled
n                                 70064
bias                           0.385532
rmse                           1.147497
mae                             0.93178
maxabs                         5.978783
corr                           0.969876
Name: 1, dtype: object>",,,,,,,,,,,,
