hour,month,A_res,B_res,delta,B_margin_over_26,A_margin_over_26,B_inlet_C,A_inlet_C,odb
4339,Jun,25.045063,26.119648,1.074585,0.119648,-0.954937,41.291924,24.046328,23.700001
4578,Jul,25.608820,26.296576,0.687756,0.296576,-0.391180,41.513607,25.994835,25.799999
4579,Jul,25.522745,26.406818,0.884073,0.406818,-0.477255,40.444515,23.531506,22.900000
4602,Jul,25.570866,26.420599,0.849733,0.420599,-0.429134,40.974144,24.010008,23.400000
4603,Jul,25.546972,26.513807,0.966835,0.513807,-0.453028,39.279327,22.270145,21.799999
4626,Jul,25.673216,26.478905,0.805689,0.478905,-0.326784,42.245262,25.226355,24.600000
4627,Jul,25.888878,26.784363,0.895485,0.784363,-0.111122,39.953678,24.956886,24.400000
4650,Jul,25.993980,26.849739,0.855759,0.849739,-0.006020,42.139336,24.641693,24.500000
4674,Jul,25.726822,26.567972,0.841150,0.567972,-0.273178,39.597107,22.567099,22.100000
4675,Jul,25.858643,26.800661,0.942019,0.800661,-0.141357,39.279327,22.862974,21.799999
4746,Jul,25.915855,26.276054,0.360199,0.276054,-0.084145,31.594688,26.026398,26.000000
4748,Jul,25.376270,26.075691,0.699421,0.075691,-0.623730,34.386238,23.377022,23.100000
