hour,room,A_air,B_air,A_res,B_res,d_res,odb,B_inlet,A_inlet,flow_ls
1843,Bathroom_2,17.300945,20.329126,16.089758,18.544109,2.454351,12.800000,29.745970,15.208201,8
1843,Studio 1_0,15.208201,14.904026,14.592001,14.774981,0.182980,12.800000,12.800000,12.279847,30
1843,Bedroom 2_3,13.129195,14.063688,12.807838,13.820373,1.012534,12.800000,12.800000,12.606688,63
1843,Ensuite_5,16.347012,16.455519,15.236631,15.689063,0.452432,12.800000,16.122583,13.851604,8
1843,Kitchen_4,13.851604,16.123400,13.415960,15.343560,1.927600,12.800000,16.373642,13.129195,63
1843,Bedroom 2_6,13.040243,13.904222,12.706004,13.655145,0.949141,12.800000,12.800000,12.606688,63
1843,Ensuite_8,16.760139,16.460678,15.661091,15.757881,0.096790,12.800000,16.121788,13.971975,8
1843,Kitchen_7,13.971975,16.122612,13.559215,15.366039,1.806825,12.800000,16.373640,13.040243,63
2968,Bathroom_2,19.874193,21.539167,19.173164,20.581886,1.408722,21.100000,23.544966,21.062395,8
2968,Studio 1_0,21.062395,21.103508,20.812172,21.049282,0.237110,21.100000,21.100000,17.427639,30
2968,Bedroom 2_3,17.736591,20.811020,17.373209,19.724800,2.351591,21.100000,21.100000,19.053896,63
2968,Ensuite_5,18.478251,20.389481,17.840839,19.524315,1.683475,21.100000,21.600302,17.803814,8
2968,Kitchen_4,17.803814,20.897739,17.641516,20.100634,2.459118,21.100000,20.810249,17.736591,63
2968,Bedroom 2_6,17.540466,20.776623,17.148376,19.641088,2.492712,21.100000,21.100000,19.053896,63
2968,Ensuite_8,18.744492,20.259121,18.120445,19.429686,1.309240,21.100000,21.565809,17.856522,8
2968,Kitchen_7,17.856522,20.894678,17.724678,20.098354,2.373676,21.100000,20.775848,17.540466,63
4819,Bathroom_2,25.299667,26.477995,24.179375,24.980270,0.800896,17.600000,34.830425,19.197102,8
4819,Studio 1_0,19.197102,18.699957,20.341364,20.003345,-0.338018,17.600000,17.600000,16.768421,30
4819,Bedroom 2_3,19.687380,19.361799,20.230667,20.003471,-0.227196,17.600000,17.600000,17.337065,63
4819,Ensuite_5,24.694704,20.855202,23.650116,21.016651,-2.633465,17.600000,20.108492,19.909184,8
4819,Kitchen_4,19.909184,20.109261,20.482241,20.531178,0.048937,17.600000,21.233629,19.687380,63
4819,Bedroom 2_6,19.669806,19.335613,20.195667,19.921026,-0.274641,17.600000,17.600000,17.337065,63
4819,Ensuite_8,25.062834,20.932388,24.030121,21.126686,-2.903435,17.600000,20.119370,19.932558,8
4819,Kitchen_7,19.932558,20.120129,20.540207,20.563238,0.023031,17.600000,21.233627,19.669806,63
5299,Bathroom_2,24.716606,25.896719,23.574978,24.372417,0.797440,17.000000,34.194870,19.140604,8
5299,Studio 1_0,19.140604,18.419119,20.073475,19.561749,-0.511726,17.000000,17.000000,16.512173,30
5299,Bedroom 2_3,19.255053,18.794203,19.678535,19.349983,-0.328552,17.000000,17.000000,16.908148,63
5299,Ensuite_5,24.011801,20.259243,22.956936,20.351072,-2.605864,17.000000,19.595957,19.424128,8
5299,Kitchen_4,19.424128,19.596676,19.912487,19.927717,0.015230,17.000000,20.626131,19.255053,63
5299,Bedroom 2_6,19.241734,18.767643,19.643328,19.262285,-0.381042,17.000000,17.000000,16.908148,63
5299,Ensuite_8,24.381401,20.281200,23.339245,20.430975,-2.908270,17.000000,19.603441,19.444235,8
5299,Kitchen_7,19.444235,19.604153,19.977123,19.964857,-0.012266,17.000000,20.626129,19.241734,63
5491,Bathroom_2,24.260042,25.428169,23.135712,23.915699,0.779987,16.500000,33.665237,19.129488,8
5491,Studio 1_0,19.129488,18.197308,19.737244,19.104040,-0.633204,16.500000,16.500000,15.783340,30
5491,Bedroom 2_3,19.134993,18.541056,19.497917,19.084003,-0.413914,16.500000,16.500000,16.248573,63
5491,Ensuite_5,23.743322,20.009109,22.700397,20.095772,-2.604626,16.500000,19.358313,19.233761,8
5491,Kitchen_4,19.233761,19.359026,19.673552,19.650581,-0.022970,16.500000,20.119883,19.134993,63
5491,Bedroom 2_6,19.130322,18.525003,19.479544,19.015064,-0.464479,16.500000,16.500000,16.248573,63
5491,Ensuite_8,24.105833,20.021444,23.073898,20.165325,-2.908573,16.500000,19.359064,19.243793,8
5491,Kitchen_7,19.243793,19.359774,19.722055,19.674652,-0.047403,16.500000,20.119881,19.130322,63
6211,Bathroom_2,22.526031,23.265282,21.423737,21.738995,0.315258,10.500000,27.309666,19.011110,8
6211,Studio 1_0,19.011110,16.777954,18.834442,17.290710,-1.543732,10.500000,10.500000,10.648892,30
6211,Bedroom 2_3,16.724554,16.696617,17.174076,17.072216,-0.101860,10.500000,10.500000,10.630347,63
6211,Ensuite_5,21.991697,21.863512,20.987274,20.738686,-0.248589,10.500000,21.760918,18.694948,8
6211,Kitchen_4,18.694948,17.704664,18.563797,17.918678,-0.645119,10.500000,16.697418,16.724554,63
6211,Bedroom 2_6,16.709011,16.683514,17.157927,17.054861,-0.103065,10.500000,10.500000,10.630347,63
6211,Ensuite_8,22.569073,21.863451,21.576956,20.834740,-0.742216,10.500000,21.747583,18.876690,8
6211,Kitchen_7,18.876690,17.678288,18.773336,17.948687,-0.824650,10.500000,16.684317,16.709011,63
