room,month,bias,rmse,maxabs
Bathroom_2,Jan,0.762008,0.873893,2.155519
Bathroom_2,Feb,0.829768,0.914310,2.112161
Bathroom_2,Mar,1.167548,1.247161,2.454351
Bathroom_2,Apr,0.797364,0.914279,2.133322
Bathroom_2,May,0.469415,0.650641,2.003908
Bathroom_2,Jun,0.025884,0.511623,1.208273
Bathroom_2,Jul,-0.071448,0.504209,1.065365
Bathroom_2,Aug,0.057443,0.451825,0.960501
Bathroom_2,Sep,-0.181368,0.544653,1.279428
Bathroom_2,Oct,0.128255,0.496597,1.453083
Bathroom_2,Nov,0.943235,1.040909,2.222608
Bathroom_2,Dec,1.030733,1.125852,2.374563
Studio 1_0,Jan,0.752346,0.773657,1.026047
Studio 1_0,Feb,0.792442,0.814153,1.168167
Studio 1_0,Mar,0.964808,0.987939,1.346325
Studio 1_0,Apr,0.523751,0.656219,1.111834
Studio 1_0,May,-0.096639,0.495405,1.377520
Studio 1_0,Jun,-0.326490,0.467242,1.435757
Studio 1_0,Jul,-0.226926,0.367700,1.179420
Studio 1_0,Aug,-0.188015,0.284918,0.949932
Studio 1_0,Sep,-0.449380,0.578719,1.543732
Studio 1_0,Oct,0.005008,0.467379,1.485170
Studio 1_0,Nov,0.851661,0.889787,1.222876
Studio 1_0,Dec,0.843757,0.868063,1.145039
Bedroom 2_3,Jan,0.789254,0.804625,1.117866
Bedroom 2_3,Feb,0.830051,0.841758,1.093306
Bedroom 2_3,Mar,1.039796,1.055174,1.415823
Bedroom 2_3,Apr,0.883193,0.902009,1.345505
Bedroom 2_3,May,0.683376,0.733536,2.351591
Bedroom 2_3,Jun,-0.097269,0.238293,0.770184
Bedroom 2_3,Jul,-0.177750,0.285921,0.771778
Bedroom 2_3,Aug,-0.174951,0.267173,1.542660
Bedroom 2_3,Sep,-0.135541,0.286467,0.802673
Bedroom 2_3,Oct,0.397841,0.498136,0.954833
Bedroom 2_3,Nov,0.920284,0.944136,1.269760
Bedroom 2_3,Dec,0.911051,0.926766,1.243311
Ensuite_5,Jan,0.495710,0.551503,1.333123
