pair,shift,scope,n,bias,rmse,mae,maxabs,corr
A_air vs B_zone(achieved air),-3,pooled,70056,0.385544,1.253108,1.012290,6.570864,0.961033
A_air vs B_zone(achieved air),-2,pooled,70064,0.385532,1.147497,0.931780,5.978783,0.969876
A_air vs B_zone(achieved air),-1,pooled,70072,0.385475,1.040721,0.848742,5.503945,0.978022
A_air vs B_zone(achieved air),0,pooled,70080,0.385350,0.984024,0.800978,4.130446,0.982017
A_air vs B_zone(achieved air),1,pooled,70072,0.385042,1.079497,0.872048,5.531023,0.975126
A_air vs B_zone(achieved air),2,pooled,70064,0.384851,1.207899,0.956486,5.972524,0.964871
A_air vs B_zone(achieved air),3,pooled,70056,0.384716,1.319332,1.040718,6.646603,0.955039
A_air vs B_zone(achieved air),-3,Bathroom_2,8757,0.531693,1.474231,1.131782,4.715119,0.932095
A_air vs B_zone(achieved air),-2,Bathroom_2,8758,0.531796,1.323371,1.040454,4.159221,0.947788
A_air vs B_zone(achieved air),-1,Bathroom_2,8759,0.531720,1.120956,0.895343,3.893858,0.966176
A_air vs B_zone(achieved air),0,Bathroom_2,8760,0.531564,0.979276,0.811585,3.028181,0.977228
A_air vs B_zone(achieved air),1,Bathroom_2,8759,0.531304,1.156245,0.892999,4.548587,0.963165
A_air vs B_zone(achieved air),2,Bathroom_2,8758,0.531167,1.370499,1.027752,5.159486,0.943034
A_air vs B_zone(achieved air),3,Bathroom_2,8757,0.531114,1.519466,1.191501,5.152571,0.927029
A_air vs B_zone(achieved air),-3,Studio 1_0,8757,0.291686,1.102172,0.888866,6.570864,0.965734
A_air vs B_zone(achieved air),-2,Studio 1_0,8758,0.291720,0.972678,0.803322,5.978783,0.976393
A_air vs B_zone(achieved air),-1,Studio 1_0,8759,0.291727,0.860313,0.726300,5.503945,0.984562
A_air vs B_zone(achieved air),0,Studio 1_0,8760,0.291665,0.802572,0.675523,2.233156,0.988364
A_air vs B_zone(achieved air),1,Studio 1_0,8759,0.291367,0.896569,0.750790,5.531023,0.982011
A_air vs B_zone(achieved air),2,Studio 1_0,8758,0.291199,1.040221,0.831670,5.972524,0.970966
A_air vs B_zone(achieved air),3,Studio 1_0,8757,0.291099,1.199130,0.928618,6.646603,0.956846
A_air vs B_zone(achieved air),-3,Bedroom 2_3,8757,0.522501,1.075978,0.885780,5.360798,0.975076
A_air vs B_zone(achieved air),-2,Bedroom 2_3,8758,0.522511,0.935477,0.783128,4.704695,0.984633
A_air vs B_zone(achieved air),-1,Bedroom 2_3,8759,0.522501,0.824339,0.703566,4.434213,0.991246
A_air vs B_zone(achieved air),0,Bedroom 2_3,8760,0.522396,0.779807,0.668957,3.074429,0.993653
A_air vs B_zone(achieved air),1,Bedroom 2_3,8759,0.522101,0.860169,0.732425,4.050632,0.989180
A_air vs B_zone(achieved air),2,Bedroom 2_3,8758,0.521948,0.995521,0.814014,4.936733,0.980678
A_air vs B_zone(achieved air),3,Bedroom 2_3,8757,0.521833,1.150827,0.909111,5.690026,0.969399
A_air vs B_zone(achieved air),-3,Ensuite_5,8757,-0.096029,1.221405,1.009919,3.818217,0.956688
A_air vs B_zone(achieved air),-2,Ensuite_5,8758,-0.096094,1.142679,0.949942,3.645155,0.965074
A_air vs B_zone(achieved air),-1,Ensuite_5,8759,-0.096203,1.039920,0.857052,3.713116,0.975179
A_air vs B_zone(achieved air),0,Ensuite_5,8760,-0.096354,0.986622,0.806272,3.839502,0.980035
A_air vs B_zone(achieved air),1,Ensuite_5,8759,-0.096702,1.127105,0.899821,3.809067,0.966627
A_air vs B_zone(achieved air),2,Ensuite_5,8758,-0.096935,1.267631,0.996289,4.085939,0.951441
A_air vs B_zone(achieved air),3,Ensuite_5,8757,-0.097095,1.332826,1.066761,4.278900,0.943791
A_air vs B_zone(achieved air),-3,Kitchen_4,8757,1.004869,1.439194,1.209146,5.392136,0.972615
A_air vs B_zone(achieved air),-2,Kitchen_4,8758,1.004834,1.362517,1.153877,4.698061,0.981449
A_air vs B_zone(achieved air),-1,Kitchen_4,8759,1.004778,1.296181,1.106820,4.558539,0.988695
A_air vs B_zone(achieved air),0,Kitchen_4,8760,1.004657,1.261718,1.066548,3.093925,0.992302
A_air vs B_zone(achieved air),1,Kitchen_4,8759,1.004374,1.300298,1.107122,4.204479,0.988198
A_air vs B_zone(achieved air),2,Kitchen_4,8758,1.004181,1.372366,1.152282,4.676900,0.980247
