room,hour,month,A_res,B_res,d_res,odb
Bathroom_2,1843,Mar,16.089758,18.544109,2.454351,12.800000
Bathroom_2,1819,Mar,15.719328,18.141895,2.422567,11.100000
Bathroom_2,8659,Dec,14.024567,16.399130,2.374563,11.900000
Bathroom_2,1842,Mar,15.692251,18.051373,2.359121,12.800000
Bathroom_2,1818,Mar,15.348591,17.696526,2.347935,11.400000
Bathroom_2,1747,Mar,15.245763,17.590034,2.344272,8.300000
Bathroom_2,8683,Dec,14.275436,16.603125,2.327688,10.600000
Bathroom_2,1867,Mar,16.246567,18.525873,2.279306,9.500000
Bathroom_2,1723,Mar,15.034304,17.310989,2.276686,7.600000
Bathroom_2,1844,Mar,15.550352,17.825764,2.275412,12.300000
Studio 1_0,6211,Sep,18.834442,17.290710,-1.543732,10.500000
Studio 1_0,6667,Oct,19.033558,17.548388,-1.485170,9.200000
Studio 1_0,6595,Oct,19.076801,17.603695,-1.473106,11.600000
Studio 1_0,6691,Oct,18.817551,17.363012,-1.454538,10.800000
Studio 1_0,6259,Sep,18.817856,17.378071,-1.439785,10.700000
Studio 1_0,3955,Jun,19.324253,17.888496,-1.435757,10.800000
Studio 1_0,6139,Sep,19.128588,17.709156,-1.419432,11.100000
Studio 1_0,6739,Oct,18.620117,17.210752,-1.409365,9.400000
Studio 1_0,6210,Sep,18.786697,17.383129,-1.403568,10.800000
Studio 1_0,6163,Sep,19.188114,17.786400,-1.401714,11.000000
Bedroom 2_3,2968,May,17.373209,19.724800,2.351591,21.100000
Bedroom 2_3,2967,May,17.514025,19.614632,2.100607,20.900000
Bedroom 2_3,2969,May,17.102467,18.818985,1.716518,19.500000
Bedroom 2_3,2970,May,17.147118,18.713150,1.566032,19.500000
Bedroom 2_3,5116,Aug,19.853111,18.310452,-1.542660,15.200000
Bedroom 2_3,2966,May,17.522835,19.052401,1.529566,19.600000
Bedroom 2_3,2965,May,17.445965,18.941845,1.495880,19.500000
Bedroom 2_3,1816,Mar,12.421370,13.837193,1.415823,14.300000
Bedroom 2_3,1815,Mar,12.542562,13.954758,1.412195,14.500000
Bedroom 2_3,1741,Mar,12.240530,13.649824,1.409294,12.000000
Ensuite_5,4819,Jul,23.650116,21.016651,-2.633465,17.600000
Ensuite_5,5299,Aug,22.956936,20.351072,-2.605864,17.000000
Ensuite_5,5491,Aug,22.700397,20.095772,-2.604626,16.500000
Ensuite_5,5659,Aug,23.013103,20.413269,-2.599834,15.900000
Ensuite_5,5371,Aug,22.525743,19.940819,-2.584925,15.800000
Ensuite_5,5179,Aug,23.238523,20.658115,-2.580408,17.799999
Ensuite_5,4867,Jul,23.463264,20.888706,-2.574558,17.700001
Ensuite_5,4891,Jul,23.221100,20.656456,-2.564644,17.500000
Ensuite_5,4723,Jul,24.147148,21.600376,-2.546772,19.500000
Ensuite_5,4771,Jul,24.026388,21.480354,-2.546034,18.299999
Kitchen_4,2968,May,17.641516,20.100634,2.459118,21.100000
Kitchen_4,2967,May,17.926382,20.046982,2.120600,20.900000
Kitchen_4,5116,Aug,20.472729,18.416796,-2.055933,15.200000
Kitchen_4,8662,Dec,11.090395,13.138418,2.048023,11.600000
Kitchen_4,8110,Dec,13.476372,15.455653,1.979281,14.100000
