type	from_space_guid	from_name	to_space_guid	to_name	duty_lps	reference_flowcontroller	air_system
Supply	00000000-0000-0000-0000-000000000000	<the air handling unit>	75b28088-2415-44c0-bea8-3179b3475df0	Studio 1_0	30		d18f66d8-1f45-8bee-a8ef-f3b76d75d8dc
Supply	00000000-0000-0000-0000-000000000000	<the air handling unit>	6011108b-0d83-4602-ba4f-1ac620e6219e	Bedroom 2_6	63		3c46fcf9-7ecc-865e-9035-6b3de141472a
Supply	00000000-0000-0000-0000-000000000000	<the air handling unit>	e4d79f26-bd86-4334-831a-fe4048c0e6cc	Bedroom 2_3	63		46589d5c-8387-82f1-8ab6-910e1fb53b75
Extract	59709f58-9e71-4ad9-9ba1-a7b8c84c2fcc	Kitchen_7	00000000-0000-0000-0000-000000000000	<the air handling unit>	55	{B2FCFD20-2395-4ED8-B2F4-1E8B5D4680C9}	3c46fcf9-7ecc-865e-9035-6b3de141472a
Extract	407a5b91-8248-4992-abeb-000fdced341d	Ensuite_5	00000000-0000-0000-0000-000000000000	<the air handling unit>	8	{667E8903-858E-4484-8D83-4878089CC4B7}	46589d5c-8387-82f1-8ab6-910e1fb53b75
Extract	75b28088-2415-44c0-bea8-3179b3475df0	Studio 1_0	00000000-0000-0000-0000-000000000000	<the air handling unit>	22	{D03B6CBA-0681-45AC-86FB-C092308868CE}	d18f66d8-1f45-8bee-a8ef-f3b76d75d8dc
Extract	b62f342b-f86a-4c46-8feb-616bd976e525	Ensuite_8	00000000-0000-0000-0000-000000000000	<the air handling unit>	8	{71DB7A4E-5013-42F5-85F9-3D24B2B48447}	3c46fcf9-7ecc-865e-9035-6b3de141472a
Extract	cfd0fd57-5017-4003-9e6c-3d3d40468bd4	Kitchen_4	00000000-0000-0000-0000-000000000000	<the air handling unit>	55	{84B131D8-4497-4534-BDEC-ACBD333C72C0}	46589d5c-8387-82f1-8ab6-910e1fb53b75
Extract	e2c8a683-410d-42fd-92cb-bcf1e87e5a3a	Bathroom_2	00000000-0000-0000-0000-000000000000	<the air handling unit>	8	{DDDC1442-2CE0-4875-AC23-410387BBB858}	d18f66d8-1f45-8bee-a8ef-f3b76d75d8dc
Transfer	e4d79f26-bd86-4334-831a-fe4048c0e6cc	Bedroom 2_3	cfd0fd57-5017-4003-9e6c-3d3d40468bd4	Kitchen_4	63	{62DEE70D-744F-44A3-80C4-C1F55D545075}	46589d5c-8387-82f1-8ab6-910e1fb53b75
Transfer	6011108b-0d83-4602-ba4f-1ac620e6219e	Bedroom 2_6	59709f58-9e71-4ad9-9ba1-a7b8c84c2fcc	Kitchen_7	63	{7DDC4813-A90E-4E37-AF6B-2B56F9D9A86E}	3c46fcf9-7ecc-865e-9035-6b3de141472a
Transfer	59709f58-9e71-4ad9-9ba1-a7b8c84c2fcc	Kitchen_7	b62f342b-f86a-4c46-8feb-616bd976e525	Ensuite_8	8	{0615C480-524C-4856-B15E-D674A72DBF78}	3c46fcf9-7ecc-865e-9035-6b3de141472a
Transfer	75b28088-2415-44c0-bea8-3179b3475df0	Studio 1_0	e2c8a683-410d-42fd-92cb-bcf1e87e5a3a	Bathroom_2	8	{12266E1A-F43A-4383-A4EB-430533D4C0F6}	d18f66d8-1f45-8bee-a8ef-f3b76d75d8dc
Transfer	cfd0fd57-5017-4003-9e6c-3d3d40468bd4	Kitchen_4	407a5b91-8248-4992-abeb-000fdced341d	Ensuite_5	8	{189E5DF7-FB19-445D-91D6-D0B95807F266}	46589d5c-8387-82f1-8ab6-910e1fb53b75
