kind	system	dwelling	room_guid	room_name	supply_lps	extract_lps	from_guid	to_guid	transfer_lps
room	MVHR 1	Flat 1	e2c8a683-410d-42fd-92cb-bcf1e87e5a3a	Bathroom_2	0	8			
room	MVHR 1	Flat 1	75b28088-2415-44c0-bea8-3179b3475df0	Studio 1_0	30	22			
room	MVHR 2	Flat 2	e4d79f26-bd86-4334-831a-fe4048c0e6cc	Bedroom 2_3	63	0			
room	MVHR 2	Flat 2	407a5b91-8248-4992-abeb-000fdced341d	Ensuite_5	0	8			
room	MVHR 2	Flat 2	cfd0fd57-5017-4003-9e6c-3d3d40468bd4	Kitchen_4	0	55			
room	MVHR 3	Flat 3	6011108b-0d83-4602-ba4f-1ac620e6219e	Bedroom 2_6	63	0			
room	MVHR 3	Flat 3	b62f342b-f86a-4c46-8feb-616bd976e525	Ensuite_8	0	8			
room	MVHR 3	Flat 3	59709f58-9e71-4ad9-9ba1-a7b8c84c2fcc	Kitchen_7	0	55			
transfer		Flat 2		Bedroom 2_3 -> Kitchen_4			e4d79f26-bd86-4334-831a-fe4048c0e6cc	cfd0fd57-5017-4003-9e6c-3d3d40468bd4	63
transfer		Flat 3		Bedroom 2_6 -> Kitchen_7			6011108b-0d83-4602-ba4f-1ac620e6219e	59709f58-9e71-4ad9-9ba1-a7b8c84c2fcc	63
transfer		Flat 2		Kitchen_4 -> Ensuite_5			cfd0fd57-5017-4003-9e6c-3d3d40468bd4	407a5b91-8248-4992-abeb-000fdced341d	8
transfer		Flat 3		Kitchen_7 -> Ensuite_8			59709f58-9e71-4ad9-9ba1-a7b8c84c2fcc	b62f342b-f86a-4c46-8feb-616bd976e525	8
transfer		Flat 1		Studio 1_0 -> Bathroom_2			75b28088-2415-44c0-bea8-3179b3475df0	e2c8a683-410d-42fd-92cb-bcf1e87e5a3a	8
